"﻿25/6/15, 1:42:12 AM: James created this group"
"10/1/17, 5:39:24 PM:  Emma: James Is a good boy"
"10/1/17, 5:39:34 PM:  Emma: Thanku Ben"
"10/1/17, 5:58:30 PM: James: Nice"
"10/1/17, 5:58:32 PM: James: Alive"
"10/1/17, 5:59:20 PM: James: David's future is being written now"
"Monica in pant and shirt kilogram"
"10/1/17, 5:59:26 PM: James: Carol is looking at you"
"10/1/17, 6:06:03 PM: Ben: Really But who is Carol"
"10/1/17, 6:06:18 PM: Rose:Dogs are heaven"
"10/1/17, 6:07:09 PM: James:        drumstick"
"10/1/17, 6:07:26 PM: James: you where dumbstruck after watching the Dp"
"10/1/17, 6:10:32 PM: Ben: Oh I see"
"10/1/17, 8:54:37 PM: Ben:guys"
"10/1/17, 9:17:44 PM:  Mathew Simon: Hi"
"11/1/17, 2:30:16 AM: Rose changed the subject to Happy bday"
"11/1/17, 1:52:37 AM: Mary: Nice1 James"
"11/1/17, 2:30:40 AM: Rose: Happy birthday. God bless you"
"11/1/17, 2:31:28 AM: Anna John: Happy birthday"
"11/1/17, 2:31:36 AM: Juliet Daylon: Happy bday"
"11/1/17, 2:32:16 AM: Hazel: Happy bday James"
"11/1/17, 2:32:27 AM: James: Ohh thank you guy"
"11/1/17, 2:32:55 AM: Theresa: Happy bday"
"11/1/17, 2:33:11 AM: Pole: Happy birthday Bhai.."
"11/1/17, 2:33:13 AM: Theresa: Red"
"11/1/17, 2:33:21 AM: Ben: Happy birthday"
"11/1/17, 2:33:23 AM: James: Thanks guys"
"11/1/17, 2:33:34 AM: Ben: Now I can go to sleep"
"11/1/17, 2:33:34 AM: James: Ohh damn all awake"
"11/1/17, 2:33:47 AM: James: My god I'm delighted"
"11/1/17, 2:33:54 AM: Ben: Yes we were up to wish you"
"11/1/17, 2:34:21 AM: Ben: Hope we will get the party now"
"11/1/17, 2:34:33 AM: James: Yeah full on"
"11/1/17, 2:34:42 AM: Ben:Cocaine"
"11/1/17, 2:34:46 AM: Ben: Have fun"
"11/1/17, 2:35:00 AM: James: Yeh thanks"
"11/1/17, 2:35:06 AM: Ben: Stuff"
"11/1/17, 2:35:09 AM: Sakshi: Wish u a very happy birthday"
"11/1/17, 2:35:11 AM: Sakshi:Peace"
"11/1/17, 2:36:56 AM: James: Thanks"
"11/1/17, 2:37:16 AM: Sakshi:stuff"
"11/1/17, 2:37:43 AM: Sakshi: My papa calls me by this name...Sea"
"11/1/17, 2:37:49 AM: Sakshi: Stuff"
"11/1/17, 2:37:58 AM: James:        Happiness"
"11/1/17, 2:48:43 AM: Mary: Happy birthday .."
"11/1/17, 2:49:23 AM:  Mathew: happy birthday James ....."
"11/1/17, 2:59:33 AM: James:Thanks guys"
"11/1/17, 3:00:24 AM: Shradha: Happy bday"
"11/1/17, 5:21:24 AM: Emily: Happy birthday James"
"11/1/17, 8:36:38 AM: James: Thanks"
"11/1/17, 8:36:57 AM: James: Thank you Mathew"
"11/1/17, 9:55:42 AM:  Emma: Happy bday"
"11/1/17, 11:04:55 AM: James: Thank you new Mathew"
"11/1/17, 11:05:14 AM: Jack: Happy Birthday bro!!"
"11/1/17, 11:05:35 AM: James: Where are you , have you gone missing in the streets of Singapore"
"11/1/17, 11:05:43 AM: James: Thank you so much"
"11/1/17, 11:06:04 AM: Jack: I am very busy these days"
"11/1/17, 11:06:07 AM: Jack: I closed my eyes"
"11/1/17, 11:06:43 AM: James: Everyone is busy brother but you are too busy to even talk"
"11/1/17, 12:00:12 PM: Alan: Happy birthday Cocaine"
"11/1/17, 12:02:03 PM: James: Thanks Alan"
"11/1/17, 12:33:37 PM:   Emma changed this group's icon"
"11/1/17, 12:58:29 PM: Ben: Who is this baby in our group ico"
"11/1/17, 12:59:29 PM: James: See I was so handsome in childhood also"
"11/1/17, 1:00:45 PM: Ben: from where"
"11/1/17, 1:00:57 PM: Ben: chemistry"
"11/1/17, 1:01:05 PM: James: from Goa or what"
"11/1/17, 1:01:05 PM: Ben: Just kidding"
"11/1/17, 1:01:23 PM: Ben: Don't want to upset you on ur birthday"
"11/1/17, 1:01:28 PM: Ben:physics"
"11/1/17, 1:01:39 PM: James: oh god I have started to cry"
"11/1/17, 1:01:41 PM: Ben: But u were so cute"
"11/1/17, 1:02:10 PM: Ben: I know.. that's why I send just kidding"
"11/1/17, 1:02:14 PM: Ben: maths"
"11/1/17, 1:02:19 PM: James: Let god light our path with greatness"
"11/1/17, 1:02:28 PM: Ben: Exactly"
"11/1/17, 1:02:30 PM: Ben:english"
"11/1/17, 1:02:34 PM: Ben: I have got the youtube link with me"
"11/1/17        ,1:02:48 PM: Ben: Ur birthday song"""
"11/1/17, 1:03:05 PM: James: What happened your all blushing"
"11/1/17, 1:03:38 PM: Ben: merry"
"11/1/17, 1:03:42 PM: Ben:christmas"
"11/1/17, 1:03:58 PM: James: Thank you"
"11/1/17, 1:04:04 PM: Ben: thanksgiving"
"11/1/17, 11:32:05 PM: Ben: happy birthday  brother."
"11/1/17, 11:52:32 PM: Theresa:I wanted to show a video"
"11/1/17, 11:52:48 PM: James: Thank you brother"
"11/1/17, 11:52:49 PM: James: Brother"
"12/1/17, 12:20:16 AM:  Mathew Simon:I wanted to show an image"
"12/1/17, 12:20:18 AM:  Mathew Simon:I wanted to show an image"
"12/1/17, 12:20:18 AM:  Mathew Simon:I wanted to show an image"
"12/1/17, 12:20:19 AM:  Mathew Simon:I wanted to show an image"
"13/1/17, 11:18:40 AM:  James changed the subject to ""BI & Rest"""
"13/1/17, 11:19:42 AM:  James changed this group's icon"
"13/1/17, 11:54:21 AM: Anna John:  Wish u a very happy Leonard"
"May the Leonard fire burn all of Life's tension and brings you success & Peace to you and your Family... With this Leonard bonfire - may your life be enlightened forever!"
"13/1/17, 6:30:51 PM:  Mathew Simon: tired"
"13/1/17, 9:36:28 PM: James: hungry"
"13/1/17, 10:28:15 PM: Anna John: thirsty"
"14/1/17, 1:32:13 PM:  Emma:I wanted to show an image"
"14/1/17, 1:32:44 PM: Anna John: Happy christmas friends"
"14/1/17, 1:32:50 PM: Anna John:watch friends"
"14/1/17, 1:46:06 PM:  Mathew: Happy days"
"16/1/17, 9:11:09 AM:  James :changed the subject to ""Happy Birthday Martin   """
"16/1/17, 9:14:16 AM:  James :changed this group's icon"
"16/1/17, 10:56:06 AM: Anna John: Happy birthday Martin"
"16/1/17, 10:56:41 AM: Jack: Rose ... Happy Birthday!!!"
"16/1/17, 11:42:37 AM:  Emma: Happy bday"
"16/1/17, 11:47:33 AM: Rose: Thanks all"
"16/1/17, 11:48:00 AM: Emily: Happy birthday Martin"
"16/1/17, 11:48:11 AM: Rose: Thanks Emily"
"16/1/17, 11:50:56 AM: Ben: Happy birthday Rose!!!!!"
"16/1/17, 11:51:34 AM: Rose: Thanks  ben"
"16/1/17, 11:55:45 AM: Alan: HBD Martin"
"16/1/17, 11:59:04 AM: Theresa: Happy birthday Martin"
"16/1/17, 12:00:12 PM: James: It seems so nice"
"16/1/17,12:01:57 PM: Emily: Omg"""
"16/1/17, 12:05:49 PM: James: Sorry she committed suicide by under pressure f some murder commited earlier"
"16/1/17, 12:44:43 PM: Rose: Thanks Theresa"
"16/1/17, 2:13:55 PM:  Mathew: happy birthday! Good Bye Everyone"
"16/1/17, 2:15:42 PM: Mary: Happy birthday Martin"
"16/1/17, 2:18:11 PM: Rose: Thanks"
"16/1/17, 2:18:18 PM: Rose: Thanks"
"16/1/17, 6:05:15 PM: Hazel: Happy bday Martin"
"16/1/17, 11:11:13 PM: Theresa: it's Theresa"
"16/1/17, 11:30:30 PM: James: May everything happen nicely"
"16/1/17, 11:30:34 PM: James: As usual"
"17/1/17, 10:43:57 PM: Ben: Bad things come and go"
"17/1/17, 10:44:46 PM: Alan: Nice"
"17/1/17, 10:48:17 PM: Anna John: I was just leaving for the store"
"18/1/17, 5:06:30 AM: Emily: Just imagine"
"18/1/17, 10:40:25 AM:  Emma: James"
"18/1/17, 10:40:40 AM:  Emma: Is this the photo of new group"
"18/1/17, 10:40:53 AM:  Emma: Put one old team pic"
"18/1/17, 2:01:02 PM: James: Because you are not the"
"18/1/17, 2:02:32 PM:  Emma:I really appreciate you"
"18/1/17, 2:04:28 PM:  James changed this group's icon"
"18/1/17, 2:05:01 PM: James: Happy day"
"18/1/17, 2:05:04 PM: James: Not now please"
"18/1/17, 2:05:27 PM: James: Concentrate on how to wear Sari rather group DP"
"18/1/17, 2:06:55 PM:  Emma: Hey everything will happen simultaneously multitasking u c"
"18/1/17, 3:16:26 PM: Emily: Some might think this is true"
"18/1/17, 3:18:24 PM: Jack: wow nice picture.. I am very happy seeing peter after such a long time"
"18/1/17, 3:22:42 PM: James: That's right brother you have become so well and happy"
"18/1/17, 3:23:10 PM: Jack: are you mad"
"18/1/17, 3:23:29 PM: Rose: or what will she kill us"
"18/1/17, 3:24:17 PM: Anna John: David brother did peter gave you back your money"
"18/1/17, 3:31:58 PM: Jack: Haa haaa haa"
"18/1/17, 3:32:16 PM: Jack: Yes he did brother....."
"18/1/17, 3:33:11 PM: Anna John: He might think so"
"18/1/17, 4:30:02 PM: Ben: Ha ha..."
"18/1/17, 4:30:30 PM: Ben: Monica when is ur marriage"
"18/1/17, 4:48:46 PM:  Emma: It's on 24th"
"18/1/17, 5:19:41 PM: Ben: Only 6 more days to go"
"18/1/17, 5:19:43 PM: Ben: Wow"
"18/1/17, 5:22:15 PM:  Emma: What you doing"
"18/1/17, 5:42:03 PM: Emily: Monica: you will be in Bangalore after marriage or shifting to another city"
"18/1/17, 8:23:26 PM: James: Hai sister had you breakfast"
"18/1/17, 8:37:52 PM: Anna John:  Oh you got plans"
"18/1/17, 8:51:50 PM: Ben: You want to laugh at my condition"
"18/1/17, 9:11:52 PM: James: It's just that I thought of olden times"
"18/1/17, 9:12:48 PM: Ben: Ya now can join our group"
"18/1/17, 9:13:23 PM: Ben: Mathew and my WhatsApp group"
"18/1/17, 9:13:53 PM: Ben: ""Come sister let's gossip"" is the name of the group"
"18/1/17, 9:23:16 PM:  Emma: Emily I have to take transfer for Hyderabad"
"18/1/17, 9:23:28 PM:  Emma: But James will continue in bangalore some days"
"18/1/17, 9:23:57 PM: Rose: will be coming"
"18/1/17, 9:25:10 PM:  Emma: How"
"18/1/17, 9:25:12 PM:  Emma: sure"
"19/1/17, 6:03:42 AM: Emily:May good things happen to us"
"19/1/17, 6:03:42 AM: Emily: Mine won’t last longer"
"19/1/17, 10:14:33 AM: James: You might know that also"
"23/1/17, 2:05:55 PM: Emily:They wanted it to be true"
"23/1/17, 2:35:34 PM: Ben: what is with the gossips!"
"23/1/17, 2:35:40 PM: Ben: will do it"
"23/1/17, 2:39:10 PM: Emily: May you rest in peace"
"23/1/17, 3:09:17 PM: Emily: this is only based on u"
"23/1/17, 3:52:42 PM: Ben: Then fine"
"24/1/17, 12:17:21 PM: Rose: Good Morning"
"24/1/17, 12:48:54 PM: Emily: So happy for you"
"25/1/17, 6:03:40 PM: Anna John: Zoom in on the inauguration photo .You can see practically every face in the crowd by zooming .Excellent picture Marvel of modern technology..!!"
"25/1/17, 8:58:34 PM: James: Anna join zoom meeting"
"25/1/17, 9:42:04 PM: Anna John: I saw a life with you"
"26/1/17, 6:23:09 AM: Emily:I wanted to show an image"
"26/1/17, 8:16:06 AM: James: Happy Republic Day to all"
"26/1/17, 12:01:20 PM: Theresa: Congratulations to all of us.Our national anthem ""Jana Gana Mana... ""is declared as the ""BEST ANTHEM OF THE WORLD""by UNESCO. Just a few minutes ago.Kindly share this."
"28/1/17, 5:52:13 AM: Emily:I wanted to show an image"
"28/1/17, 9:11:41 AM: Jack:So it was indeed true"
"29/1/17, 5:31:19 PM: Emily:I wanted to show an image"
"29/1/17, 6:22:19 PM: James:I wanted to show an image"
"29/1/17, 6:33:40 PM: Emily: it’s from Monica's marriage ceremony"
"29/1/17, 6:33:46 PM: Emily: So let it all be okay"
"29/1/17, 6:35:04 PM: James: yes"
"29/1/17, 6:53:09 PM: Ben: James how do you know"
"29/1/17, 6:53:16 PM: Ben: I can't see Martin"
"29/1/17, 6:58:33 PM: James: Her dp"
"29/1/17, 7:09:30 PM: Rose: Hai everyone"
"29/1/17, 7:10:06 PM: James: Bye everyone"
"29/1/17, 7:11:13 PM: Rose: i can't see your face"
"29/1/17, 7:11:16 PM: Rose: See you guys"
"30/1/17, 4:18:43 PM: James: here it is"
"30/1/17, 4:18:58 PM: James:I wanted to show an image"
"30/1/17, 4:18:59 PM: James:I wanted to show an image"
"30/1/17, 4:19:00 PM: James:I wanted to show an image"
"30/1/17, 4:19:10 PM: James: Jessie"
"30/1/17, 4:22:55 PM: Emily: Wow"
"30/1/17, 4:23:04 PM: Emily: God bless her"
"30/1/17, 4:23:12 PM: Emily: Very beautiful"
"30/1/17, 4:23:16 PM: Emily: He is so beautiful"
"30/1/17, 4:25:54 PM: Ben: Beautiful bride"
"31/1/17, 1:08:59 AM:  Emma: Thanku Emily n Peter"
"31/1/17, 3:11:42 PM: Rose: Finally best answer found  Interviewer: why should i hire you  Candidate: because i'm a good person"
"31/1/17, 3:32:21 PM: James: Good use it for it next interview"
"31/1/17, 6:11:15 PM: Rose: My favourite thing"
"31/1/17, 6:11:29 PM: Rose: Monica how is the fun"
"31/1/17, 6:11:50 PM: Rose: Have you brought sweets from your marriage"
"31/1/17, 6:34:18 PM: James: I forgot the birthday cake"
"31/1/17, 6:39:48 PM: Rose:He is right"
"31/1/17, 6:40:12 PM: Rose: Are you going to say that the sweets were finished"
"31/1/17, 7:02:05 PM: Ben: Rose and James .. Don't disturb her"
"31/1/17, 7:02:12 PM: Ben: Let her enjoy"
"31/1/17, 7:02:22 PM: Emily: So be it"
"31/1/17, 7:02:31 PM: Emily: That is right"
"31/1/17, 7:03:06 PM: Ben: In the initial few days you will get to know your husband"
"31/1/17, 7:03:08 PM: Ben: and I won’t back out"
"31/1/17, 7:03:14 PM: Emily: I know"
"31/1/17, 7:03:17 PM: Emily:  Sometimes I feel tired"
"31/1/17, 7:26:33 PM: Rose: and sad and depressed"
"31/1/17, 7:26:52 PM: Rose: We have to ask this question to James's wife"
"31/1/17, 7:36:44 PM: James: Ben in the initial few days you will get to know your husband .But what if it takes more than that"
"31/1/17, 7:36:55 PM: James: Take a chill pill"
"31/1/17, 7:38:21 PM: Ben: You are right"
"31/1/17, 7:38:23 PM: Ben: That is true"
"31/1/17, 7:41:36 PM: James: Wow"
"31/1/17, 7:41:56 PM: James: Vance & David be aware"
"31/1/17, 8:04:09 PM: Ben:  You are the reason for everything"
"1/2/17, 6:07:05 AM: Emily:I wanted to show an image"
"1/2/17, 10:55:38 AM: Ben: Thank you Emily and wish you the same"
"1/2/17, 1:21:22 PM: James: Wish you all happy flower festival.Mother goddess shower her blessings on you all in your carrier"
"2/2/17, 12:56:58 AM: Anna John:So happy to see the team winning"
"2/2/17, 12:58:34 AM: James: What happened brother"
"2/2/17, 12:59:02 AM: Anna John: Haven't you watched T20 match"
"2/2/17, 12:59:50 AM: James: No"
"2/2/17, 1:00:03 AM: Anna John: Today was the final"
"2/2/17, 1:00:08 AM: Anna John: It got over today"
"2/2/17, 1:00:11 AM: Anna John: India win"
"2/2/17, 1:00:17 AM: James: Seems u Gave me the highlights"
"2/2/17, 1:00:27 AM: Anna John: Sad truth"
"2/2/17, 1:41:13 PM: Ben: Seems to be okay to me"
"2/2/17, 3:15:41 PM: James: We were both young"
"3/2/17, 11:09:01 AM: Emily:I wanted to show an image"
"3/2/17, 5:45:56 PM: Ben: So true"
"3/2/17, 5:46:26 PM: Ben: We have  Mathew and Anna here"
"3/2/17, 6:38:47 PM: Rose: Really"
"3/2/17, 7:11:18 PM: Anna John: I like a lot of girls but none seems to like me"
"3/2/17, 7:11:33 PM: Anna John: These girls only like rich boys"
"3/2/17, 7:12:31 PM: James: Now they won't even care"
"3/2/17, 7:13:37 PM: Anna John: Hahaha"
"3/2/17, 7:13:39 PM: Anna John: No Brother"
"3/2/17, 7:13:52 PM: Anna John: This time it's our team"
"3/2/17, 7:17:27 PM: Ben: Oh good"
"3/2/17, 7:17:35 PM: Ben: Then throw us a party"
"3/2/17, 7:18:39 PM: Anna John: Sure"
"3/2/17, 7:18:48 PM: Anna John: First office"
"4/2/17, 1:03:50 AM: Rose: Is it true"
"4/2/17, 1:03:52 AM: Rose: Thank you so much"
"4/2/17, 1:43:10 AM: Ben: So be it"
"4/2/17, 2:01:57 AM: Anna John: That is exactly what I was speaking"
"4/2/17, 11:28:48 AM:  Mathew: Thinking that it’s true"
"4/2/17, 1:17:12 PM: Emily: that is just so prefect"
"4/2/17, 2:33:29 PM: James: Jaguar is a black coloured animal"
"4/2/17, 6:48:00 PM: Emily:The pages may seem to disappear as we move forward"
"5/2/17, 12:33:39 PM: Ben: Emily is it your birthday"
"5/2/17, 12:56:25 PM: Rose: Happy birthday Emily."
"5/2/17, 12:56:46 PM: Rose:  ben I wished her before you did"
"5/2/17, 1:08:57 PM: Ben: Hmm"
"5/2/17, 1:09:13 PM: Ben: Happy birthday Emily"
"5/2/17, 1:09:46 PM: Ben: Again I gave her the cake first cake"
"5/2/17, 1:09:49 PM: Ben: Sure about that"
"5/2/17, 1:10:21 PM: Rose: Yeah pretty sure"
"5/2/17, 1:18:00 PM:  James: changed the subject to ""Happy Birthday Emily """
"5/2/17, 1:19:06 PM:  James :changed this group's icon"
"5/2/17, 1:19:18 PM: James: Wish you a Very Happy Emily"
"5/2/17, 1:22:51 PM: Emily: Thank you friends"
"5/2/17, 1:23:07 PM: Emily:I wanted to show an image"
"5/2/17, 1:24:01 PM: Emily:I wanted to show an image"
"5/2/17, 1:24:09 PM: Emily: Cake from me"
"5/2/17, 1:24:15 PM: Emily: For everyone"
"5/2/17, 1:25:12 PM: Jack: Happy Birthday Emily"
"5/2/17, 1:27:12 PM:  Mathew: happy birthday Emily"
"5/2/17, 1:31:46 PM: Theresa: Happy. Birthday Emily"
"5/2/17, 1:39:16 PM:  Emma: Happy wala bday Emily"
"5/2/17, 1:47:36 PM: Emily: Thank you everyone"
"5/2/17, 1:47:49 PM: Emily:When I first saw you I closed my eyes"
"5/2/17, 2:01:34 PM: Ben: Such a cute pic..."
"5/2/17, 2:28:25 PM: Emily: Thank you  ben"
"5/2/17, 6:02:30 PM: Anna John: Happy Budday Emily"
"5/2/17, 6:12:07 PM: Emily: Thanks Anna"
"6/2/17, 12:53:03 AM: James: Such a great person"
"6/2/17, 6:36:44 AM: Hazel changed the subject to ""Happy Birthday  Mathew """
"6/2/17, 6:46:50 AM: Hazel changed this group's icon"
"6/2/17, 9:59:15 AM: James: Happy Birthday  Mathew"
"6/2/17, 9:59:19 AM: James: Happy birthday  Mathew"
"6/2/17, 10:01:02 AM: Anna John: Happy birthday, Anna"
"6/2/17, 11:06:36 AM: Ben: Happy birthday  Mathew"
"6/2/17, 11:13:10 AM: Ben: Happy birthday  Mathew"
"6/2/17, 11:20:26 AM: Anna John: You get us get drinks today"
"6/2/17, 11:40:43 AM: Emily: Happy birthday  Mathew"
"6/2/17, 11:56:36 AM: Jack: Happy Birthday brother!!"
"6/2/17, 1:04:14 PM:  Mathew: thAnks guys!"
"6/2/17, 1:06:56 PM:  Emma: Happy bday  Mathew"
"6/2/17, 2:17:06 PM: Emily: Something so unusual"
"6/2/17, 3:26:10 PM:  Mathew: thankyou everyone"
"6/2/17, 3:31:03 PM: Pole: Happy birthday  Mathew brother"
"6/2/17, 3:44:37 PM: Ben:  Mathew... said thanks to you guys and Monica and special congratulations to Monica... she got married... hope you know that"
"6/2/17, 4:16:02 PM:  Mathew: The world is alive on hope"
"6/2/17, 4:16:10 PM:  Mathew: thank you big brother"
"6/2/17, 4:18:09 PM:  Mathew: First when I checked it was just to 3_4 wishes .... that's why I wrote thanks guys .....then afterwards when I turned on the net I saw Monica's wish ...and I wrote thanks Monica .that's it simple"
"6/2/17, 4:22:22 PM: James: When ever it's about Monica everybody has to give such a lot of explanation"
"6/2/17, 4:34:47 PM: Anna John: So stupid of you"
"6/2/17, 4:49:21 PM:  Emma: So stupid of me too"
"6/2/17, 4:49:31 PM:  Emma: Really James"
"6/2/17, 4:49:50 PM: James: That's so sad"
"6/2/17, 5:13:11 PM: Juliet Daylon: Happy bday  Mathew.."
"6/2/17, 6:42:51 PM:  Mathew: thanks Juliet"
"6/2/17, 11:36:47 PM: Theresa: Happy birthday  Mathew"
"7/2/17, 12:02:42 AM:  Mathew: thanks....Theresa"
"9/2/17, 5:30:32 PM: James: These valentines day..rose day...teddy bear day...hug day....chocolate day....all these exits only before the marriage....after marriage there will be only coffee , tea and food, let me sleep some more.........."
"5/27/21, 9:35:00 PM: James: Hai Peter"
"5/27/21, 9:35:00 PM: James: Thankyou for sending me cocaine"
"5/27/21, 9:36:00 PM: James: James also need cocaine"
"5/27/21, 9:36:00 PM: James: People all over the world are using cocaine"
"5/27/21, 9:37:00 PM: James: We can use snow for cocaine"
"5/27/21, 9:37:00 PM: James: Or we can use thunder for heroine"
"5/27/21, 9:37:00 PM: James: Cocaine is the peacemaker"
"5/27/21, 9:37:00 PM: James: Without cocaine no life"
"5/27/21, 9:37:00 PM: James: So enjoy life enjoy cocaine"
"5/27/21, 9:38:00 PM: James: Alexa please continue to use cocaine"
"5/27/21, 9:54:00 PM: Theresa: Sorry I think we are out of stock"
"5/27/21, 9:55:00 PM: Theresa: Why don't you ask the other guy James"
"5/27/21, 9:55:00 PM: Theresa: He had some with him"
"5/27/21, 9:56:00 PM: Theresa: We will receive more snow buy tomorrow morning"
"5/27/21, 9:56:00 PM: Theresa: Till then we can't provide you"
"5/27/21, 9:57:00 PM: James: But i'm in an emergency"
"5/27/21, 9:57:00 PM: James: You know without snow or thunder no rain"
"5/27/21, 9:58:00 PM: James: There is a possibility of having thunder with rain so be careful"
"5/27/21, 9:58:00 PM: Theresa: You are funny silly guy"
"5/27/21, 9:58:00 PM: James: Cocaine addicted people cannot run so please provide necessary steps for their safety"
"5/27/21, 9:59:00 PM: James: Situation is getting worse peter"
"5/27/21, 9:59:00 PM: James: Why can't you understand"
"5/27/21, 9:59:00 PM: Theresa: I will call James myself may be he can help you"
"5/27/21, 9:59:00 PM: James: Why are you not considering my situation"
"5/27/21, 9:59:00 PM: Theresa: See we are trying But it the stock has to reach from Mumbai"
"5/27/21, 9:59:00 PM: James: Many kids in my locality are waiting for me to provide them some cocaine"
"5/28/21, 9:59:00 PM: Theresa: It will take a days time"
"5/28/21, 10:00:00 PM: James: Why mumbai get it from some local mafia like charley from malappuram"
"5/28/21, 10:00:00 PM: James: Charley is an expert in smuggling"
"5/28/21, 10:00:00 PM: James: Contact him"
"5/28/21, 10:01:00 PM: Theresa: But the police department is very strict in this area"
"5/28/21, 10:01:00 PM: Theresa: We can't make a move now"
"5/28/21, 10:01:00 PM: James: We can use local cow dung vehicle so they won't check"
"5/28/21, 10:02:00 PM: James: Police is not a barrier u silly boy"
"5/28/21, 10:02:00 PM: James: Why are u afraid of them"
"5/28/21, 10:02:00 PM: James: They also need this maybe"
"5/28/21, 10:02:00 PM: Theresa: These police officer are very intelligent they check every vehicle"
"5/28/21, 10:02:00 PM: Theresa: If you could bribe them"
"5/28/21, 10:03:00 PM: James: U know money is not a problem for me i'll bribe them even if they demand a 10 lakh"
"5/28/21, 10:03:00 PM: Theresa: Then everything will be sorted"
"5/28/21, 10:03:00 PM: James: Okay proceed"
"5/28/21, 10:03:00 PM: James: At Least try"
"5/28/21, 10:03:00 PM: James: We have lots of experiences in trying from our college labs no for lab exams"
"5/28/21, 10:03:00 PM: James: Why are u afraid"
"5/28/21, 10:03:00 PM: Theresa: You contact them and make safe path for snow"
"5/28/21, 10:04:00 PM: James: Proceed was not our dream just trying"
"5/28/21, 10:04:00 PM: James: We have hope in viva about cocaine"
"5/28/21, 10:04:00 PM: James: Ok peter i'm happy that i could manipulate you"
"5/28/21, 10:06:00 PM: Theresa: You wish I have my own rules and my own way"
"5/28/21, 10:06:00 PM: Theresa: You can't manipulate me"
"5/28/21, 10:07:00 PM: Ben :added all the cards together"
